DESCRIPTION: LINE 2 IS THE HEADER; LINE 3 IS START_DATE; THE FOLLOWING LINES: FEES LIST; THE COLUMNS ARE SEPARATED BY TAB
MBS	MBS Fee (Jan 2015)	AHSA $ Benefit	AHSA % Benefit
01.07.2015
00004			119.90 
00024			111.80 
00037			119.90 
00047			119.90 
00058			111.80 
00059			122.60 
00060			122.60 
00065			122.60 
00104	$85.55	$110.90	
00105	$43.00	$55.70	
00106	$71.00	$91.10	
00109	$192.80	$193.10	
00110	$150.90	$186.60	
00116	$75.50	$89.60	
00119	$43.00	$44.10	
00132	$263.90	$289.30	
00133	$132.10	$144.90	
00135	$263.90	$289.30	
00137	$263.90	$289.30	
00141	$452.65	$496.40	
00143	$282.95	$310.30	
00160	$221.50	$265.70	
00161	$369.15	$442.80	
00162	$516.65	$600.90	
00163	$664.55	$758.40	
00164	$738.40	$858.10	
00170	$117.55	$154.00	
00171	$123.85	$162.40	
00172	$150.70	$197.40	
00173	$21.65	$30.00	
00195			137.60 
00289	$263.90	$280.40	
00297	$260.30	$283.70	
00320	$43.35	$47.80	
00322	$86.45	$95.80	
00324	$133.10	$146.80	
00326	$183.65	$202.00	
00328	$213.15	$235.90	
00342	$49.30	$50.40	
00344	$65.45	$78.00	
00346	$96.80	$115.10	
00348	$126.75	$127.30	
00350	$175.00	$175.50	
00352	$126.75	$127.30	
00353	$57.20	$57.60	
00355	$114.45	$114.90	
00356	$167.80	$168.40	
00357	$231.45	$231.90	
00358	$282.00	$282.50	
00359	$325.35	$345.70	
00361	$299.30	$317.90	
00364	$43.35	$47.50	
00366	$86.45	$95.00	
00367	$133.10	$138.10	
00369	$183.80	$190.60	
00370	$213.15	$233.80	
00385	$85.55	$87.10	
00386	$43.00	$44.10	
00414			129.00 
00415			129.00 
00416			129.00 
00417			129.00 
00597	$129.80	$138.50	
00598	$104.75	$112.30	
00599	$153.00	$166.10	
00600	$124.25	$137.20	
00701	$59.35	$67.00	
00703	$137.90	$155.70	
00705	$190.30	$214.90	
00707	$268.80	$303.50	
00721	$144.25	$172.40	
00723	$114.30	$136.50	
00729	$70.40	$80.30	
00731	$70.40	$80.30	
00732	$72.05	$86.00	
00735	$70.65	$117.10	
00739	$120.95	$174.30	
00743	$201.65	$228.70	
00747	$51.90	$83.70	
00750	$89.00	$133.30	
00758	$148.20	$180.40	
00820	$139.10	$169.40	
00822	$208.70	$253.70	
00823	$278.15	$338.30	
00825	$99.90	$121.50	
00826	$159.30	$193.50	
00828	$218.75	$266.10	
00830	$139.10	$169.40	
00832	$208.70	$253.90	
00834	$278.15	$338.30	
00835	$99.90	$121.40	
00837	$159.30	$193.60	
00838	$218.75	$266.10	
00855	$139.10	$169.40	
00857	$208.70	$253.70	
00858	$278.15	$338.30	
00861	$139.10	$169.40	
00864	$208.70	$254.00	
00866	$278.15	$338.50	
00871	$80.30	$97.60	
00872	$37.40	$45.40	
00880	$48.65	$59.10	
02503			122.60 
02506			122.60 
02509			122.60 
02518			122.60 
02522			122.60 
02526			122.60 
02547			122.60 
02553			122.60 
02559			122.60 
02610			122.60 
02613			122.60 
02616			122.60 
02631			122.60 
02633			122.60 
02635			122.60 
02673			122.60 
02675			122.60 
02677			122.60 
02700	$71.70	$92.70	
02701	$105.55	$136.40	
02712	$71.70	$85.80	
02713	$71.70	$84.70	
